Name,county_state,date1,Serial,date2,Pre_rally_beg,pre_rally_end,post_rally_beg,post_rally_end,average_growth_new_cases,pre_rally_rate,post_rally_rate,post_rally_growth_new_cases,post_rally_change_in_growth,pre_rally_rate,post_rally_rate,post_rally_growth_deaths
Donald Trump,Yavapai_Arizona,20201019,Yavapai_Arizona_20201019,10/19/2020,10/5/2020,10/19/2020,10/19/2020,11/2/2020,-7.9%,37897,43826,15.65%,-298.18%,1193,1330,11.48%
Donald Trump,Erie_Pennsylvania,20201020,Erie_Pennsylvania_20201020,10/20/2020,10/6/2020,10/20/2020,10/20/2020,11/3/2020,7.2%,25042,31275,24.89%,244.47%,672,720,7.14%
Joe Biden,Davidson_Tennessee,20201022,Davidson_Tennessee_20201022,10/22/2020,10/8/2020,10/22/2020,10/22/2020,11/5/2020,-8.1%,434024,514662,18.58%,-329.85%,4525,5190,14.70%
Joe Biden,Davidson_Tennessee,20201022,Davidson_Tennessee_20201022,10/22/2020,10/8/2020,10/22/2020,10/22/2020,11/5/2020,-8.1%,434024,514662,18.58%,-329.85%,4525,5190,14.70%
Donald Trump,Escambia_Florida,20201023,Escambia_Florida_20201023,10/23/2020,10/9/2020,10/23/2020,10/23/2020,11/6/2020,-13.1%,179876,203987,13.40%,-202.33%,3709,4063,9.54%
Donald Trump,Sumter_Florida,20201023,Sumter_Florida_20201023,10/23/2020,10/9/2020,10/23/2020,10/23/2020,11/6/2020,-2.8%,37946,43889,15.66%,-653.92%,1104,1285,16.39%
Joe Biden,Bucks_Pennsylvania,20201024,Bucks_Pennsylvania_20201024,10/24/2020,10/10/2020,10/24/2020,10/24/2020,11/7/2020,-7.3%,133585,157008,17.53%,-341.46%,8711,9395,7.85%
Joe Biden,Luzerne_Pennsylvania,20201024,Luzerne_Pennsylvania_20201024,10/24/2020,10/10/2020,10/24/2020,10/24/2020,11/7/2020,-2.0%,64915,83095,28.01%,-1494.55%,2665,3057,14.71%
Donald Trump,Palm Beach_Florida,20201024,Palm Beach_Florida_20201024,10/24/2020,10/10/2020,10/24/2020,10/24/2020,11/7/2020,-11.9%,682636,787753,15.40%,-229.70%,20840,23778,14.10%
Donald Trump,Pickaway_Ohio,20201024,Pickaway_Ohio_20201024,10/24/2020,10/10/2020,10/24/2020,10/24/2020,11/7/2020,-9.3%,40760,48230,18.33%,-298.07%,644,690,7.14%
Donald Trump,Waukesha_Wisconsin,20201024,Waukesha_Wisconsin_20201024,10/24/2020,10/10/2020,10/24/2020,10/24/2020,11/7/2020,25.6%,151676,215633,42.17%,64.43%,1449,1921,32.57%
Donald Trump,Penobscot_Maine,20201025,Penobscot_Maine_20201025,10/25/2020,10/11/2020,10/25/2020,10/25/2020,11/8/2020,-3.3%,3853,4819,25.07%,-864.18%,84,90,7.14%
Donald Trump,Rockingham_New Hampshire,20201025,Rockingham_New Hampshire_20201025,10/25/2020,10/11/2020,10/25/2020,10/25/2020,11/8/2020,-0.3%,33059,41557,25.71%,-8373.93%,1466,1575,7.44%
Donald Trump,Blair_Pennsylvania,20201026,Blair_Pennsylvania_20201026,10/26/2020,10/12/2020,10/26/2020,10/26/2020,11/9/2020,47.2%,14399,22977,59.57%,26.16%,343,478,39.36%
Joe Biden,Chester_Pennsylvania,20201026,Chester_Pennsylvania_20201026,10/26/2020,10/12/2020,10/26/2020,10/26/2020,11/9/2020,-5.7%,107030,126002,17.73%,-411.17%,5254,5713,8.74%
Donald Trump,Lancaster_Pennsylvania,20201026,Lancaster_Pennsylvania_20201026,10/26/2020,10/12/2020,10/26/2020,10/26/2020,11/9/2020,-3.8%,125403,151612,20.90%,-653.24%,6559,7221,10.09%
Donald Trump,Lehigh_Pennsylvania,20201026,Lehigh_Pennsylvania_20201026,10/26/2020,10/12/2020,10/26/2020,10/26/2020,11/9/2020,-6.9%,86255,104813,21.52%,-411.03%,5069,5516,8.82%
Joe Biden,Fulton_Georgia,20201027,Fulton_Georgia_20201027,10/27/2020,10/13/2020,10/27/2020,10/27/2020,11/10/2020,-7.9%,447206,513652,14.86%,-287.18%,8513,9641,13.25%
Donald Trump,Ingham_Michigan,20201027,Ingham_Michigan_20201027,10/27/2020,10/13/2020,10/27/2020,10/27/2020,11/10/2020,17.0%,60650,77202,27.29%,60.99%,838,1052,25.54%
Joe Biden,Meriwether_Georgia,20201027,Meriwether_Georgia_20201027,10/27/2020,10/13/2020,10/27/2020,10/27/2020,11/10/2020,-4.8%,9406,10652,13.25%,-378.54%,216,252,16.67%
